height,max_threads,num_entities,compute_time(s),memory(MB),file_size(MB)
16,4,10000,0.8653,14.38,2.06
16,4,20000,0.8632,11.33,4.08
16,4,30000,0.7593,22.39,6.11
16,8,10000,0.864,6.05,2.06
16,8,20000,0.8624,11.97,4.08
16,8,30000,0.7859,21.34,6.11
16,12,10000,0.845,6.91,2.06
16,12,20000,0.8991,11.62,4.08
16,12,30000,0.7813,22.7,6.11
16,16,10000,0.862,5.9,2.06
16,16,20000,0.8523,12.38,4.08
16,16,30000,0.7837,21.57,6.11
32,4,10000,7.842,21.21,8.65
32,4,20000,15.314,42.03,12.55
32,4,30000,19.968,43.95,15.43
32,4,50000,33.424,57.9,20.1
32,4,100000,46.621,88.17,30.46
32,4,200000,73.565,176.35,50.69
32,8,10000,7.033,20.86,8.58
32,8,20000,11.796,42.22,12.55
32,8,30000,18.334,42.96,15.42
32,8,50000,28.259,58.42,20.11
32,8,100000,41.69,87.77,30.46
32,8,200000,70.453,176.28,50.69
32,12,10000,6.5743,20.84,8.63
32,12,20000,11.735,42.33,12.54
32,12,30000,17.593,43.86,15.41
32,12,50000,26.512,62.97,20.11
32,12,100000,40.098,88.59,30.46
32,12,200000,73.015,176.4,50.69
32,16,10000,6.3838,19.93,8.62
32,16,20000,11.938,43.17,12.55
32,16,30000,20.825,43.16,15.44
32,16,50000,31.582,59.2,20.11
32,16,100000,43.27,87.49,30.45
32,16,200000,71.469,176.5,50.69
